;; @T(#) @T(#)
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;; Point pair table: pptable1
;;
pptable1
	DBL 11.0000000000000	DBL 2.04900000000000
	DBL 16.0000000000000	DBL 3.03900000000000
	DBL 21.0000000000000	DBL 4.02272000000000
	DBL 26.0000000000000	DBL 4.94999000000000
	DBL 52.0000000000000	DBL 10.0563500000000
	DBL 78.0000000000000	DBL 15.0663200000000
	DBL 104.000000000000	DBL 20.0782400000000
	DBL 129.000000000000	DBL 24.9899200000000
	DBL 155.000000000000	DBL 29.9999500000000
	DBL 181.000000000000	DBL 35.1076500000000
	DBL 206.000000000000	DBL 39.9899800000000
	DBL 255.000000000000	DBL 49.8096000000000
	END
;;
;;
;; Point pair table: pptable67
;;
pptable67
	DBL 0.00000000000000	DBL 999.000000000000
	DBL 1.00000000000000	DBL 102.332600000000
	DBL 23.0000000000000	DBL 96.0600000000000
	DBL 49.0000000000000	DBL 88.5047200000000
	DBL 76.0000000000000	DBL 81.0300000000000
	DBL 104.000000000000	DBL 73.3020000000000
	DBL 132.000000000000	DBL 65.8200400000000
	DBL 161.000000000000	DBL 58.2300200000000
	DBL 191.000000000000	DBL 50.5113800000000
	DBL 220.000000000000	DBL 42.9900200000000
	DBL 240.000000000000	DBL 37.8515600000000
	DBL 244.000000000000	DBL 36.8326500000000
	DBL 247.000000000000	DBL 35.9700000000000
	DBL 251.000000000000	DBL 34.9800000000000
	DBL 255.000000000000	DBL 33.9600000000000
	END
;;
;;
;; Point pair table: pptable68
;;
pptable68
	DBL 0.00000000000000	DBL 999.000000000000
	DBL 1.00000000000000	DBL 66.6457000000000
	DBL 15.0000000000000	DBL 63.0300000000000
	DBL 44.0000000000000	DBL 55.4900000000000
	DBL 73.0000000000000	DBL 47.8992000000000
	DBL 102.000000000000	DBL 40.4100100000000
	DBL 132.000000000000	DBL 32.7900000000000
	DBL 162.000000000000	DBL 25.2000000000000
	DBL 192.000000000000	DBL 17.4813800000000
	DBL 221.000000000000	DBL 9.82816000000000
	DBL 239.000000000000	DBL 4.81089000000000
	DBL 243.000000000000	DBL 3.80258000000000
	DBL 246.000000000000	DBL 2.94000000000000
	DBL 250.000000000000	DBL 1.95000000000000
	DBL 253.000000000000	DBL 0.930000000000000
	DBL 255.000000000000	DBL 0.0300000000000000
	END
;;
;;
;; Point pair table: pptable73
;;
pptable73
	DBL 0.00000000000000	DBL 474.927777777731
	DBL 10.0000000000000	DBL 410.588888888791
	DBL 15.0000000000000	DBL 393.766666666555
	DBL 20.0000000000000	DBL 382.611111110991
	DBL 25.0000000000000	DBL 374.344444444317
	DBL 35.0000000000000	DBL 362.511111110975
	DBL 45.0000000000000	DBL 354.119444444301
	DBL 55.0000000000000	DBL 347.677777777629
	DBL 65.0000000000000	DBL 342.480555555403
	DBL 85.0000000000000	DBL 334.436111110952
	DBL 105.000000000000	DBL 328.316666666503
	DBL 125.000000000000	DBL 323.394444444277
	DBL 145.000000000000	DBL 319.327777777607
	DBL 165.000000000000	DBL 315.911111110937
	DBL 195.000000000000	DBL 311.472222222045
	DBL 255.000000000000	DBL 304.780555555373
	END
;;
;;
;; Point pair table: pptable74
;;
pptable74
	DBL 0.00000000000000	DBL 30.2055555551532
	DBL 21.0000000000000	DBL 131.311211110790
	DBL 49.0000000000000	DBL 267.637527777565
	DBL 81.0000000000000	DBL 433.476066666587
	DBL 255.000000000000	DBL 1387.23166666735
	END
;;
;;
;; Point pair table: pptable75
;;
pptable75
	DBL 0.00000000000000	DBL 313.420000000000
	DBL 15.0000000000000	DBL 224.095000000000
	DBL 25.0000000000000	DBL 187.305000000000
	DBL 35.0000000000000	DBL 164.400000000000
	DBL 45.0000000000000	DBL 147.765000000000
	DBL 55.0000000000000	DBL 134.700000000000
	DBL 65.0000000000000	DBL 123.830000000000
	DBL 75.0000000000000	DBL 114.540000000000
	DBL 85.0000000000000	DBL 106.350000000000
