
                  Time                     X                     Y                     Z                    Vx                    Vy                    Vz
                     D                     D                     D                     D                     D                     D                     D
                     s                     m                     m                     m                   m/s                   m/s                   m/s
      7.9870500000E+07      7.5571033891E+10     -9.2597937410E+10      1.4303299253E+10      3.3647054416E+04      1.8121288736E+04      2.7301611401E+04
      7.9870800000E+07      7.5560939027E+10     -9.2603373796E+10      1.4295108770E+10      3.3649547714E+04      1.8118795438E+04      2.7299118103E+04
      7.9871100000E+07      7.5550844163E+10     -9.2608808687E+10      1.4286919782E+10      3.3652041012E+04      1.8116302141E+04      2.7299118103E+04
      7.9871400000E+07      7.5540747802E+10     -9.2614243578E+10      1.4278729299E+10      3.3654534310E+04      1.8113808843E+04      2.7301611401E+04
      7.9871700000E+07      7.5530651442E+10     -9.2619676972E+10      1.4270538815E+10      3.3654534310E+04      1.8111315545E+04      2.7301611401E+04
      7.9872000000E+07      7.5520555082E+10     -9.2625110367E+10      1.4262348332E+10      3.3657027607E+04      1.8111315545E+04      2.7301611401E+04
      7.9872300000E+07      7.5510457226E+10     -9.2630543762E+10      1.4254157849E+10      3.3657027607E+04      1.8108822247E+04      2.7299118103E+04
      7.9872600000E+07      7.5500360865E+10     -9.2635975660E+10      1.4245968861E+10      3.3659520905E+04      1.8103835651E+04      2.7301611401E+04
      7.9872900000E+07      7.5490261513E+10     -9.2641406063E+10      1.4237776882E+10      3.3662014203E+04      1.8103835651E+04      2.7304104699E+04
      7.9873200000E+07      7.5480163657E+10     -9.2646837962E+10      1.4229586398E+10      3.3662014203E+04      1.8103835651E+04      2.7301611401E+04
      7.9873500000E+07      7.5470064304E+10     -9.2652268365E+10      1.4221395915E+10      3.3664507501E+04      1.8098849056E+04      2.7301611401E+04
      7.9873800000E+07      7.5459964952E+10     -9.2657697271E+10      1.4213205432E+10      3.3667000799E+04      1.8096355758E+04      2.7301611401E+04
      7.9874100000E+07      7.5449864104E+10     -9.2663126178E+10      1.4205014948E+10      3.3669494097E+04      1.8096355758E+04      2.7304104699E+04
      7.9874400000E+07      7.5439763256E+10     -9.2668555085E+10      1.4196822969E+10      3.3669494097E+04      1.8093862460E+04      2.7304104699E+04
      7.9874700000E+07      7.5429662408E+10     -9.2673982495E+10      1.4188632485E+10      3.3671987394E+04      1.8091369162E+04      2.7304104699E+04
      7.9875000000E+07      7.5419560063E+10     -9.2679409906E+10      1.4180440506E+10      3.3674480692E+04      1.8088875864E+04      2.7304104699E+04
      7.9875300000E+07      7.5409457719E+10     -9.2684835821E+10      1.4172250022E+10      3.3674480692E+04      1.8086382566E+04      2.7304104699E+04
      7.9875600000E+07      7.5399355375E+10     -9.2690261736E+10      1.4164058043E+10      3.3676973990E+04      1.8083889269E+04      2.7306597997E+04
      7.9875900000E+07      7.5389251535E+10     -9.2695686155E+10      1.4155866064E+10      3.3679467288E+04      1.8081395971E+04      2.7304104699E+04
      7.9876200000E+07      7.5379147695E+10     -9.2701110573E+10      1.4147675580E+10      3.3679467288E+04      1.8081395971E+04      2.7304104699E+04
      7.9876500000E+07      7.5369043854E+10     -9.2706534992E+10      1.4139483601E+10      3.3681960586E+04      1.8078902673E+04      2.7306597997E+04
      7.9876800000E+07      7.5358938518E+10     -9.2711957915E+10      1.4131291621E+10      3.3684453884E+04      1.8076409375E+04      2.7306597997E+04
      7.9877100000E+07      7.5348833182E+10     -9.2717380838E+10      1.4123099642E+10      3.3686947182E+04      1.8073916077E+04      2.7306597997E+04
      7.9877400000E+07      7.5338726350E+10     -9.2722802265E+10      1.4114907663E+10      3.3686947182E+04      1.8071422779E+04      2.7306597997E+04
      7.9877700000E+07      7.5328621014E+10     -9.2728223691E+10      1.4106715683E+10      3.3686947182E+04      1.8068929482E+04      2.7306597997E+04
      7.9878000000E+07      7.5318514182E+10     -9.2733643622E+10      1.4098523704E+10      3.3691933777E+04      1.8068929482E+04      2.7306597997E+04
      7.9878300000E+07      7.5308405853E+10     -9.2739065049E+10      1.4090331724E+10      3.3694427075E+04      1.8066436184E+04      2.7309091294E+04
      7.9878600000E+07      7.5298297525E+10     -9.2744483484E+10      1.4082138249E+10      3.3694427075E+04      1.8061449588E+04      2.7309091294E+04
      7.9878900000E+07      7.5288189197E+10     -9.2749901919E+10      1.4073946270E+10      3.3694427075E+04      1.8061449588E+04      2.7306597997E+04
      7.9879200000E+07      7.5278080869E+10     -9.2755320354E+10      1.4065754290E+10      3.3696920373E+04      1.8061449588E+04      2.7309091294E+04
      7.9879500000E+07      7.5267971045E+10     -9.2760738789E+10      1.4057560815E+10      3.3699413671E+04      1.8056462992E+04      2.7309091294E+04
      7.9879800000E+07      7.5257861221E+10     -9.2766154232E+10      1.4049368835E+10      3.3701906969E+04      1.8053969694E+04      2.7309091294E+04
      7.9880100000E+07      7.5247749901E+10     -9.2771571170E+10      1.4041175360E+10      3.3704400266E+04      1.8053969694E+04      2.7311584592E+04
      7.9880400000E+07      7.5237638581E+10     -9.2776986613E+10      1.4032981885E+10      3.3704400266E+04      1.8051476397E+04      2.7309091294E+04
      7.9880700000E+07      7.5227527261E+10     -9.2782402056E+10      1.4024789905E+10      3.3704400266E+04      1.8048983099E+04      2.7309091294E+04
      7.9881000000E+07      7.5217415941E+10     -9.2787816003E+10      1.4016596430E+10      3.3706893564E+04      1.8046489801E+04      2.7311584592E+04
      7.9881300000E+07      7.5207303124E+10     -9.2793229950E+10      1.4008402955E+10      3.3711880160E+04      1.8043996503E+04      2.7311584592E+04
      7.9881600000E+07      7.5197188812E+10     -9.2798642401E+10      1.4000209479E+10      3.3711880160E+04      1.8041503205E+04      2.7311584592E+04
      7.9881900000E+07      7.5187075996E+10     -9.2804054852E+10      1.3992016004E+10      3.3711880160E+04      1.8041503205E+04      2.7311584592E+04
      7.9882200000E+07      7.5176961684E+10     -9.2809467303E+10      1.3983822528E+10      3.3714373458E+04      1.8039009907E+04      2.7311584592E+04
      7.9882500000E+07      7.5166847372E+10     -9.2814878258E+10      1.3975629053E+10      3.3716866756E+04      1.8034023312E+04      2.7311584592E+04
      7.9882800000E+07      7.5156731564E+10     -9.2820287717E+10      1.3967435578E+10      3.3719360054E+04      1.8034023312E+04      2.7314077890E+04
      7.9883100000E+07      7.5146615756E+10     -9.2825698672E+10      1.3959240606E+10      3.3719360054E+04      1.8031530014E+04      2.7314077890E+04
      7.9883400000E+07      7.5136499948E+10     -9.2831106635E+10      1.3951047131E+10      3.3721853351E+04      1.8029036716E+04      2.7311584592E+04
      7.9883700000E+07      7.5126382644E+10     -9.2836516094E+10      1.3942853656E+10      3.3724346649E+04      1.8029036716E+04      2.7314077890E+04
      7.9884000000E+07      7.5116265340E+10     -9.2841924057E+10      1.3934658684E+10      3.3724346649E+04      1.8024050120E+04      2.7314077890E+04
      7.9884300000E+07      7.5106148036E+10     -9.2847330524E+10      1.3926465209E+10      3.3726839947E+04      1.8021556822E+04      2.7314077890E+04
      7.9884600000E+07      7.5096029236E+10     -9.2852736991E+10      1.3918270237E+10      3.3729333245E+04      1.8021556822E+04      2.7314077890E+04
      7.9884900000E+07      7.5085910436E+10     -9.2858143458E+10      1.3910076762E+10      3.3729333245E+04      1.8019063525E+04      2.7314077890E+04
      7.9885200000E+07      7.5075791636E+10     -9.2863548429E+10      1.3901881791E+10      3.3731826543E+04      1.8016570227E+04      2.7316571188E+04
      7.9885500000E+07      7.5065671340E+10     -9.2868953400E+10      1.3893686819E+10      3.3734319841E+04      1.8014076929E+04      2.7316571188E+04
      7.9885800000E+07      7.5055551044E+10     -9.2874356875E+10      1.3885491848E+10      3.3736813138E+04      1.8011583631E+04      2.7316571188E+04
      7.9886100000E+07      7.5045429253E+10     -9.2879760351E+10      1.3877296877E+10      3.3736813138E+04      1.8011583631E+04      2.7314077890E+04
