"1MECLACL",4,1,21,11,7,1;
"1MECLACL",5,1,21,11,7,1;
"1MECLACL",6,1,15,32,7,1;
"1MECLBCL",1,1,25,11,7,1;
"1MECLBCL",2,1,25,11,7,1;
"1MECLBCL",3,1,25,11,7,1;
"1MECLBCL",4,1,25,11,7,1;
"1MECLBCL",5,1,25,11,7,1;
"1MECLBCL",6,1,19,32,7,1;
"1MEOPAOP",1,1,20,11,1,1;
"1MEOPAOP",2,1,20,11,1,1;
"1MEOPAOP",3,1,20,11,1,1;
"1MEOPAOP",4,1,20,11,1,1;
"1MEOPAOP",5,1,20,11,1,1;
"1MEOPAOP",6,1,14,32,1,1;
"1MEOPBOP",1,1,24,11,1,1;
"1MEOPBOP",2,1,24,11,1,1;
"1MEOPBOP",3,1,24,11,1,1;
"1MEOPBOP",4,1,24,11,1,1;
"1MEOPBOP",5,1,24,11,1,1;
"1MEOPBOP",6,1,18,32,1,1;
"1MIPWAON",1,1,20,11,5,1;
"1MIPWAON",2,1,20,11,5,1;
"1MIPWAON",3,1,20,11,5,1;
"1MIPWAON",4,1,20,11,5,1;
"1MIPWAON",5,1,20,11,5,1;
"1MIPWAON",6,1,14,32,5,1;
"1MIPWBON",1,1,24,11,5,1;
"1MIPWBON",2,1,24,11,5,1;
"1MIPWBON",3,1,24,11,5,1;
"1MIPWBON",4,1,24,11,5,1;
"1MIPWBON",5,1,24,11,5,1;
"1MIPWBON",6,1,18,32,5,1;
"1MODRAOP",1,1,20,11,3,1;
"1MODRAOP",2,1,20,11,3,1;
"1MODRAOP",3,1,20,11,3,1;
"1MODRAOP",4,1,20,11,3,1;
"1MODRAOP",5,1,20,11,3,1;
"1MODRAOP",6,1,14,32,3,1;
"1MODRBOP",1,1,24,11,3,1;
"1MODRBOP",2,1,24,11,3,1;
"1MODRBOP",3,1,24,11,3,1;
"1MODRBOP",4,1,24,11,3,1;
"1MODRBOP",5,1,24,11,3,1;
"1MODRBOP",6,1,18,32,3,1;
"1OAHAT",1,1,124,14,0,8;
"1OAHAT",2,1,124,14,0,8;
"1OAHAT",3,1,124,14,0,8;
"1OAHAT",4,1,0,73,0,8;
"1OAHAT",5,1,124,14,0,8;
"1OAHAT",6,1,98,32,0,8;
"1OAHBT",1,1,125,14,0,8;
"1OAHBT",2,1,125,14,0,8;
"1OAHBT",3,1,125,14,0,8;
"1OAHBT",4,1,125,14,0,8;
"1OAHBT",5,1,125,14,0,8;
"1OAHBT",6,1,125,109,0,8;
"1OHIRADF",1,1,116,149,4,1;
"1OHIRADF",2,1,116,149,4,1;
"1OHIRADF",3,1,116,149,4,1;
"1OHIRADF",4,1,116,149,4,1;
"1OHIRADF",5,1,116,149,4,1;
"1OLORADF",1,1,116,149,6,1;
